Total Timesteps: 2100	 Episode Num: 7	 Reward: -2260
Total Timesteps: 2110	 Episode Num: 7	 Reward: -2310
Total Timesteps: 2120	 Episode Num: 7	 Reward: -2360
Total Timesteps: 2130	 Episode Num: 7	 Reward: -2410
Total Timesteps: 2140	 Episode Num: 7	 Reward: -2460
Total Timesteps: 2150	 Episode Num: 8	 Reward: 2
Total Timesteps: 2160	 Episode Num: 8	 Reward: -41
Total Timesteps: 2170	 Episode Num: 8	 Reward: -91
Total Timesteps: 2180	 Episode Num: 8	 Reward: -141
Total Timesteps: 2190	 Episode Num: 8	 Reward: -191
Total Timesteps: 2200	 Episode Num: 8	 Reward: -241
Total Timesteps: 2210	 Episode Num: 8	 Reward: -291.5
Total Timesteps: 2220	 Episode Num: 9	 Reward: -50
Total Timesteps: 2230	 Episode Num: 9	 Reward: -100
Total Timesteps: 2240	 Episode Num: 9	 Reward: -87
Total Timesteps: 2250	 Episode Num: 9	 Reward: -109
Total Timesteps: 2260	 Episode Num: 9	 Reward: -159
Total Timesteps: 2270	 Episode Num: 9	 Reward: -209
Total Timesteps: 2280	 Episode Num: 9	 Reward: -259
Total Timesteps: 2290	 Episode Num: 9	 Reward: -309
Total Timesteps: 2300	 Episode Num: 9	 Reward: -359
Total Timesteps: 2310	 Episode Num: 9	 Reward: -409
Total Timesteps: 2320	 Episode Num: 9	 Reward: -459
Total Timesteps: 2330	 Episode Num: 9	 Reward: -509
Total Timesteps: 2340	 Episode Num: 9	 Reward: -559
Total Timesteps: 2350	 Episode Num: 9	 Reward: -609
Total Timesteps: 2360	 Episode Num: 9	 Reward: -659
Total Timesteps: 2370	 Episode Num: 9	 Reward: -709
Total Timesteps: 2380	 Episode Num: 9	 Reward: -759
Total Timesteps: 2390	 Episode Num: 9	 Reward: -809
Total Timesteps: 2400	 Episode Num: 9	 Reward: -859
Total Timesteps: 2410	 Episode Num: 9	 Reward: -909
Total Timesteps: 2420	 Episode Num: 9	 Reward: -959
Total Timesteps: 2430	 Episode Num: 9	 Reward: -1009
Total Timesteps: 2440	 Episode Num: 9	 Reward: -1059
Total Timesteps: 2450	 Episode Num: 9	 Reward: -1109
Total Timesteps: 2460	 Episode Num: 9	 Reward: -1159
Total Timesteps: 2470	 Episode Num: 9	 Reward: -1209
Total Timesteps: 2480	 Episode Num: 9	 Reward: -1259
Total Timesteps: 2490	 Episode Num: 9	 Reward: -1309
Total Timesteps: 2500	 Episode Num: 9	 Reward: -1359
Total Timesteps: 2510	 Episode Num: 9	 Reward: -1409
Total Timesteps: 2520	 Episode Num: 9	 Reward: -1459
Total Timesteps: 2530	 Episode Num: 9	 Reward: -1509
Total Timesteps: 2540	 Episode Num: 9	 Reward: -1559
Total Timesteps: 2550	 Episode Num: 9	 Reward: -1609
Total Timesteps: 2560	 Episode Num: 9	 Reward: -1659
Total Timesteps: 2570	 Episode Num: 9	 Reward: -1709
Total Timesteps: 2580	 Episode Num: 9	 Reward: -1759
Total Timesteps: 2590	 Episode Num: 9	 Reward: -1809
Total Timesteps: 2600	 Episode Num: 9	 Reward: -1859
Total Timesteps: 2610	 Episode Num: 9	 Reward: -1909
Total Timesteps: 2620	 Episode Num: 9	 Reward: -1959
Total Timesteps: 2630	 Episode Num: 9	 Reward: -2009
Total Timesteps: 2640	 Episode Num: 9	 Reward: -2059
Total Timesteps: 2650	 Episode Num: 9	 Reward: -2088
Total Timesteps: 2660	 Episode Num: 9	 Reward: -2068
Total Timesteps: 2670	 Episode Num: 9	 Reward: -2048
Total Timesteps: 2680	 Episode Num: 9	 Reward: -2091
Total Timesteps: 2690	 Episode Num: 9	 Reward: -2141
Total Timesteps: 2700	 Episode Num: 9	 Reward: -2191
Total Timesteps: 2710	 Episode Num: 9	 Reward: -2241
Total Timesteps: 2720	 Episode Num: 10	 Reward: -45
Total Timesteps: 2730	 Episode Num: 10	 Reward: -95
Total Timesteps: 2740	 Episode Num: 10	 Reward: -145
Total Timesteps: 2750	 Episode Num: 10	 Reward: -195
Total Timesteps: 2760	 Episode Num: 10	 Reward: -231
Total Timesteps: 2770	 Episode Num: 10	 Reward: -211
Total Timesteps: 2780	 Episode Num: 10	 Reward: -198
Total Timesteps: 2790	 Episode Num: 10	 Reward: -248
Total Timesteps: 2800	 Episode Num: 10	 Reward: -298
Total Timesteps: 2810	 Episode Num: 10	 Reward: -348
Total Timesteps: 2820	 Episode Num: 10	 Reward: -398
Total Timesteps: 2830	 Episode Num: 10	 Reward: -448
Total Timesteps: 2840	 Episode Num: 10	 Reward: -498
Total Timesteps: 2850	 Episode Num: 10	 Reward: -548
